id,priority,bucket,engine,mode,fen,notes,material_cp_white_minus_black,mode_options_applied,mode_options_missing,our_nnue_static_cp,our_classical_cp,our_eval_final_cp,internal_static_available,internal_static_error,internal_nnue_stm_cp,internal_nnue_white_cp,internal_classical_stm_cp,internal_classical_white_cp,internal_piece_count,uci_nnue_cp,uci_classical_cp,bestmove_final,score_volatility_cp,search_static_gap_d8_cp,suggested_class,sf_nnue_cp,sf_final_cp,sf_classical_cp,sf_bestmove_final,error,d4_score_cp,d4_score_raw,d4_bestmove,d4_nodes,d4_qnodes,d4_time_ms,sf_d4_score_cp,sf_d4_score_raw,sf_d4_bestmove,sf_d4_nodes,d6_score_cp,d6_score_raw,d6_bestmove,d6_nodes,d6_qnodes,d6_time_ms,sf_d6_score_cp,sf_d6_score_raw,sf_d6_bestmove,sf_d6_nodes,d8_score_cp,d8_score_raw,d8_bestmove,d8_nodes,d8_qnodes,d8_time_ms,sf_d8_score_cp,sf_d8_score_raw,sf_d8_bestmove,sf_d8_nodes,d10_score_cp,d10_score_raw,d10_bestmove,d10_nodes,d10_qnodes,d10_time_ms,sf_d10_score_cp,sf_d10_score_raw,sf_d10_bestmove,sf_d10_nodes
Q01,P1,quiet_static,our_engine,full_search,r2q1rk1/ppp2ppp/2n1bn2/3pp3/3P4/2PBPN2/PP1N1PPP/R2Q1RK1 w - - 0 1,Italian-like quiet center,0,,,16,-67,,True,,16,16,-67,-67,30,,,f3e5,60,142,unclassified,,,,,,99,cp:99,f3e5,2864,,486,,,,,98,cp:98,f3e5,5774,,526,,,,,158,cp:158,f3e5,14269,,645,,,,,159,cp:159,f3e5,33924,,942,,,,
Q02,P1,quiet_static,our_engine,full_search,r1bq1rk1/pp2bppp/2n1pn2/2ppN3/3P4/2P1PN2/PP1BBPPP/R2Q1RK1 w - - 0 1,Sicilian developed center,0,,,17,130,,True,,17,17,130,130,32,,,e5c6,12,-4,unclassified,,,,,,25,cp:25,e5c6,2328,,57,,,,,25,cp:25,e5c6,8743,,132,,,,,13,cp:13,e5c6,35563,,477,,,,,25,cp:25,e5c6,138300,,1879,,,,
Q03,P1,quiet_static,our_engine,full_search,r2q1rk1/1pp1bppp/p1npbn2/4p3/2BPP3/2N1BN2/PPP2PPP/R2Q1RK1 w - - 0 1,"Closed center, active minors",0,,,21,-4,,True,,21,21,-4,-4,32,,,c4e6,9,11,unclassified,,,,,,36,cp:36,c4e6,1717,,51,,,,,41,cp:41,c4e6,4472,,92,,,,,32,cp:32,c4e6,17167,,270,,,,,26,cp:26,c4e6,48638,,761,,,,
Q04,P1,quiet_static,our_engine,full_search,r2q1rk1/pp2bppp/2n1bn2/2pp4/3P4/2NBPN2/PPQ2PPP/R1B2RK1 w - - 0 1,QGD/Carlsbad development,0,,,-2,-59,,True,,-2,-2,-59,-59,30,,,d4c5,38,-8,unclassified,,,,,,-4,cp:-4,f3g5,2138,,60,,,,,-42,cp:-42,f3g5,13598,,215,,,,,-10,cp:-10,d4c5,39608,,607,,,,,-16,cp:-16,d4c5,67665,,1036,,,,
Q05,P1,quiet_static,our_engine,full_search,r2q1rk1/pp2bppp/2n1bn2/2ppp3/3PP3/2PB1N2/PP1N1PPP/R1BQ1RK1 w - - 0 1,French-style locked center,0,,,-16,-128,,True,,-16,-16,-128,-128,32,,,d4e5,57,101,unclassified,,,,,,30,cp:30,e4d5,3288,,64,,,,,87,cp:87,d4e5,7406,,118,,,,,85,cp:85,d4e5,14816,,214,,,,,92,cp:92,d4e5,47757,,710,,,,
Q06,P1,quiet_static,our_engine,full_search,r2q1rk1/pp1bbppp/2n1pn2/2pp4/2PP4/2NBPN2/PP2BPPP/R2Q1RK1 w - - 0 1,English/QGD quiet tension,0,,,26,28,,True,,26,26,28,28,32,,,c4d5,11,-10,unclassified,,,,,,27,cp:27,c4d5,2734,,64,,,,,16,cp:16,c4d5,8162,,138,,,,,16,cp:16,c4d5,24821,,388,,,,,15,cp:15,c4d5,81702,,1188,,,,
Q07,P1,quiet_static,our_engine,full_search,r2q1rk1/pp2bppp/2npbn2/2p1p3/2PPP3/2N1BN2/PP2BPPP/R2Q1RK1 w - - 0 1,KID/Benoni-style closed center,0,,,56,131,,True,,56,56,131,131,32,,,d4d5,21,417,unclassified,,,,,,469,cp:469,d4d5,1707,,49,,,,,490,cp:490,d4d5,13651,,209,,,,,473,cp:473,d4d5,35355,,529,,,,,478,cp:478,d4d5,100636,,1558,,,,
Q08,P1,quiet_static,our_engine,full_search,r1bq1rk1/pp2bppp/2n1pn2/2pp4/2PP4/2N1PN2/PP1BBPPP/R2Q1RK1 w - - 0 1,Maroczy-like quiet structure,0,,,21,61,,True,,21,21,61,61,32,,,c4d5,15,-4,unclassified,,,,,,37,cp:37,c4d5,1490,,48,,,,,22,cp:22,c4d5,4526,,89,,,,,17,cp:17,c4d5,19654,,298,,,,,24,cp:24,c4d5,47404,,668,,,,
P01,P1,pawn_endgame_rfp,our_engine,full_search,8/8/8/3k4/3P4/3K4/8/8 w - - 0 1,"Opposition, white to move",100,,,0,150,,True,,0,0,150,150,3,,,d3c3,15,15,unclassified,,,,,,0,cp:0,d3c2,197,,34,,,,,0,cp:0,d3c2,620,,39,,,,,15,cp:15,d3c3,3055,,54,,,,,16,cp:16,d3c3,6145,,74,,,,
P02,P1,pawn_endgame_rfp,our_engine,full_search,8/8/8/3k4/3P4/3K4/8/8 b - - 0 1,"Opposition, black to move",100,,,0,-150,,True,,0,0,-150,150,3,,,d5d6,22,-22,unclassified,,,,,,-10,cp:-10,d5e6,422,,32,,,,,0,cp:0,d5d6,935,,38,,,,,-22,cp:-22,d5d6,3252,,54,,,,,-44,cp:-44,d5d6,7012,,77,,,,
P03,P1,pawn_endgame_rfp,our_engine,full_search,8/8/8/8/2k5/8/2P5/2K5 w - - 0 1,"K+P boundary, white to move",100,,,0,70,,True,,0,0,70,70,3,,,c1d1,0,0,unclassified,,,,,,0,cp:0,c1d1,139,,31,,,,,0,cp:0,c1d1,409,,33,,,,,0,cp:0,c1d1,1280,,40,,,,,0,cp:0,c1d1,3982,,55,,,,
P04,P1,pawn_endgame_rfp,our_engine,full_search,8/8/8/8/2k5/8/2P5/2K5 b - - 0 1,"K+P boundary, black to move",100,,,0,-70,,True,,0,0,-70,70,3,,,c4c3,0,0,unclassified,,,,,,0,cp:0,c4c3,152,,33,,,,,0,cp:0,c4c3,507,,38,,,,,0,cp:0,c4c3,1357,,45,,,,,0,cp:0,c4c3,3647,,61,,,,
P05,P1,pawn_endgame_rfp,our_engine,full_search,8/5k2/6p1/5p2/5P2/6P1/5K2/8 w - - 0 1,Passed pawn race,0,,,9,0,,True,,9,9,0,0,6,,,f2e2,0,-9,unclassified,,,,,,0,cp:0,f2e2,903,,49,,,,,0,cp:0,f2e2,1677,,53,,,,,0,cp:0,f2e2,3399,,69,,,,,0,cp:0,f2e2,6566,,94,,,,
P06,P1,pawn_endgame_rfp,our_engine,full_search,8/6k1/6p1/5p2/P4P2/6P1/6K1/8 w - - 0 1,Outside passer race,100,,,118,990,,True,,118,118,990,990,7,,,a4a5,1566,1679,unstable,,,,,,146,cp:146,a4a5,437,,33,,,,,231,cp:231,a4a5,1835,,46,,,,,1797,cp:1797,a4a5,148937,,1549,,,,,1310,cp:1310,a4a5,306316,,2903,,,,
N01,P1,low_material_nmp,our_engine,full_search,8/8/8/3k4/3P4/3K1N2/8/8 w - - 0 1,Pawn opposition plus knight; NMP guard candidate,420,,,807,478,,True,,807,807,478,478,4,,,f3e5,287,161,unstable,,,,,,1016,cp:1016,f3e5,686,,36,,,,,904,cp:904,f3e5,3245,,59,,,,,968,cp:968,f3e5,10123,,128,,,,,1255,cp:1255,f3e5,32141,,326,,,,
N02,P1,low_material_nmp,our_engine,full_search,8/8/5n2/3k4/3P4/3K4/8/8 b - - 0 1,Pawn opposition plus black knight; NMP guard candidate,-220,,,10,229,,True,,10,-10,229,-229,4,,,f6g4,635,677,unstable,,,,,,22,cp:22,f6g4,1009,,39,,,,,52,cp:52,f6g4,2315,,51,,,,,687,cp:687,f6g4,10114,,121,,,,,544,cp:544,f6g4,65924,,600,,,,
N03,P1,low_material_nmp,our_engine,full_search,8/8/8/3k4/3P4/3K4/4B3/8 w - - 0 1,Pawn opposition plus bishop; NMP guard candidate,430,,,263,455,,True,,263,263,455,455,4,,,e2d1,294,1071,unstable,,,,,,1040,cp:1040,e2d1,1311,,44,,,,,1334,cp:1334,e2d1,4272,,72,,,,,1334,cp:1334,e2f3,15221,,186,,,,,1249,cp:1249,e2d1,39052,,392,,,,
N04,P1,low_material_nmp,our_engine,full_search,8/8/8/3k4/3P4/3K4/8/4b3 b - - 0 1,Pawn opposition plus black bishop; NMP guard candidate,-230,,,21,247,,True,,21,-21,247,-247,4,,,e1h4,361,658,unstable,,,,,,47,cp:47,e1b4,688,,36,,,,,318,cp:318,e1a5,4860,,73,,,,,679,cp:679,e1f2,15273,,172,,,,,632,cp:632,e1h4,33645,,345,,,,
T01,P1,tactical_search,our_engine,full_search,r3k2r/p1ppqpb1/bn2pnp1/2pPN3/1p2P3/2N2Q2/PPPBBPPP/R3K2R w KQkq - 0 1,"Kiwipete-like, corrected to 8 black pawns",0,,,-17,390,,True,,-17,-17,390,390,32,,,e2a6,27,10,unclassified,,,,,,33,cp:33,e2a6,4228,,103,,,,,6,cp:6,e2a6,17431,,353,,,,,-7,cp:-7,e2a6,38971,,795,,,,,-4,cp:-4,e2a6,123226,,2416,,,,
T02,P1,tactical_search,our_engine,full_search,r2q1rk1/ppp2ppp/2n2n2/2bpp3/4P3/2NP1N2/PPP2PPP/R1BQ1RK1 w - - 0 1,Central tension capture sequence,0,,,14,-98,,True,,14,14,-98,-98,30,,,c1g5,25,38,unclassified,,,,,,24,cp:24,c1g5,4418,,86,,,,,27,cp:27,c1g5,9360,,172,,,,,52,cp:52,c1g5,29329,,446,,,,,55,cp:55,c1g5,59933,,872,,,,
T03,P1,tactical_search,our_engine,full_search,r1bq1rk1/ppp2ppp/2n2n2/3pp3/1b1PP3/2N2N2/PPP2PPP/R1BQKB1R w KQ - 0 1,"King-side pressure, uncastled king",0,,,-22,-123,,True,,-22,-22,-123,-123,32,,,f3e5,30,-100,unclassified,,,,,,-79,cp:-79,d4e5,3691,,81,,,,,-92,cp:-92,a2a3,17018,,274,,,,,-122,cp:-122,a2a3,63173,,1012,,,,,-117,cp:-117,f3e5,194969,,3269,,,,
T04,P1,tactical_search,our_engine,full_search,r2q1rk1/ppp2ppp/2n2n2/3pp3/1b1PP3/2N2N2/PPP2PPP/R1BQ1RK1 w - - 0 1,Exposed king / attacking compensation,0,,,24,4,,True,,24,24,4,4,30,,,c3d5,35,50,unclassified,,,,,,21,cp:21,f3e5,4015,,79,,,,,56,cp:56,c3d5,10503,,163,,,,,74,cp:74,c3d5,33167,,470,,,,,76,cp:76,c3d5,78891,,1104,,,,
T05,P1,tactical_search,our_engine,full_search,r1bq1rk1/ppp2ppp/2n2n2/3pp3/3PP3/2N2N2/PPP2PPP/R1BQ1RK1 w - - 0 1,Sacrifice-compensation candidate,0,,,19,10,,True,,19,19,10,10,30,,,c1g5,42,49,unclassified,,,,,,20,cp:20,e4d5,3616,,67,,,,,62,cp:62,d4e5,9786,,147,,,,,68,cp:68,c1g5,43020,,589,,,,,70,cp:70,c1g5,167464,,2291,,,,
T06,P1,tactical_search,our_engine,full_search,r1bq1rk1/ppp2ppp/2n2n2/3pp3/1b1PP3/2N1BN2/PPP2PPP/R2QKB1R w KQ - 0 1,Pinned knight / central break candidate,0,,,-16,-71,,True,,-16,-16,-71,-71,32,,,f3e5,61,-102,unclassified,,,,,,-66,cp:-66,f3e5,3216,,75,,,,,-57,cp:-57,e4d5,21196,,422,,,,,-118,cp:-118,a2a3,66783,,1244,,,,,-118,cp:-118,f3e5,157827,,2935,,,,
Q01,P1,quiet_static,our_engine,no_nmp_rfp_razor,r2q1rk1/ppp2ppp/2n1bn2/3pp3/3P4/2PBPN2/PP1N1PPP/R2Q1RK1 w - - 0 1,Italian-like quiet center,0,Enable NMP=false;Enable RFP=false;Enable Razoring=false,,16,-67,,True,,16,16,-67,-67,30,,,f3e5,29,96,unclassified,,,,,,99,cp:99,f3e5,2930,,272,,,,,98,cp:98,f3e5,7037,,327,,,,,112,cp:112,f3e5,32904,,700,,,,,141,cp:141,f3e5,123264,,2162,,,,
Q02,P1,quiet_static,our_engine,no_nmp_rfp_razor,r1bq1rk1/pp2bppp/2n1pn2/2ppN3/3P4/2P1PN2/PP1BBPPP/R2Q1RK1 w - - 0 1,Sicilian developed center,0,Enable NMP=false;Enable RFP=false;Enable Razoring=false,,17,130,,True,,17,17,130,130,32,,,e5c6,12,-4,unclassified,,,,,,25,cp:25,e5c6,2585,,64,,,,,25,cp:25,e5c6,10029,,158,,,,,13,cp:13,e5c6,41180,,593,,,,,15,cp:15,e5c6,250590,,3557,,,,
Q03,P1,quiet_static,our_engine,no_nmp_rfp_razor,r2q1rk1/1pp1bppp/p1npbn2/4p3/2BPP3/2N1BN2/PPP2PPP/R2Q1RK1 w - - 0 1,"Closed center, active minors",0,Enable NMP=false;Enable RFP=false;Enable Razoring=false,,21,-4,,True,,21,21,-4,-4,32,,,d4d5,88,11,unclassified,,,,,,36,cp:36,c4e6,2082,,58,,,,,41,cp:41,c4e6,6176,,119,,,,,32,cp:32,c4e6,23061,,379,,,,,120,cp:120,d4d5,110595,,1761,,,,
Q04,P1,quiet_static,our_engine,no_nmp_rfp_razor,r2q1rk1/pp2bppp/2n1bn2/2pp4/3P4/2NBPN2/PPQ2PPP/R1B2RK1 w - - 0 1,QGD/Carlsbad development,0,Enable NMP=false;Enable RFP=false;Enable Razoring=false,,-2,-59,,True,,-2,-2,-59,-59,30,,,d4c5,38,-9,unclassified,,,,,,-4,cp:-4,f3g5,2147,,60,,,,,-42,cp:-42,f3g5,15880,,256,,,,,-11,cp:-11,d4c5,55305,,850,,,,,-22,cp:-22,d4c5,122377,,1918,,,,
Q05,P1,quiet_static,our_engine,no_nmp_rfp_razor,r2q1rk1/pp2bppp/2n1bn2/2ppp3/3PP3/2PB1N2/PP1N1PPP/R1BQ1RK1 w - - 0 1,French-style locked center,0,Enable NMP=false;Enable RFP=false;Enable Razoring=false,,-16,-128,,True,,-16,-16,-128,-128,32,,,d4e5,57,106,unclassified,,,,,,30,cp:30,e4d5,3231,,68,,,,,87,cp:87,d4e5,11304,,176,,,,,90,cp:90,d4e5,46248,,697,,,,,92,cp:92,d4e5,146517,,2175,,,,
